district_number,district_name,year_number,month_number,month_period,total_incidents,total_victims
6D,MONTGOMERY VILLAGE,2018,2,2018-02,675,683.0
6D,MONTGOMERY VILLAGE,2018,3,2018-03,668,678.0
6D,MONTGOMERY VILLAGE,2018,4,2018-04,674,687.0
6D,MONTGOMERY VILLAGE,2018,5,2018-05,719,732.0
6D,MONTGOMERY VILLAGE,2018,6,2018-06,613,622.0
6D,MONTGOMERY VILLAGE,2018,7,2018-07,720,734.0
6D,MONTGOMERY VILLAGE,2018,8,2018-08,749,773.0
6D,MONTGOMERY VILLAGE,2018,9,2018-09,642,655.0
6D,MONTGOMERY VILLAGE,2018,10,2018-10,722,738.0
6D,MONTGOMERY VILLAGE,2018,11,2018-11,680,691.0
6D,MONTGOMERY VILLAGE,2018,12,2018-12,691,707.0
6D,MONTGOMERY VILLAGE,2019,1,2019-01,572,584.0
6D,MONTGOMERY VILLAGE,2019,2,2019-02,547,561.0
6D,MONTGOMERY VILLAGE,2019,3,2019-03,677,690.0
6D,MONTGOMERY VILLAGE,2019,4,2019-04,680,690.0
6D,MONTGOMERY VILLAGE,2019,5,2019-05,741,750.0
6D,MONTGOMERY VILLAGE,2019,6,2019-06,671,682.0
6D,MONTGOMERY VILLAGE,2019,7,2019-07,715,728.0
6D,MONTGOMERY VILLAGE,2019,8,2019-08,760,773.0
6D,MONTGOMERY VILLAGE,2019,9,2019-09,696,720.0
6D,MONTGOMERY VILLAGE,2019,10,2019-10,699,714.0
6D,MONTGOMERY VILLAGE,2019,11,2019-11,680,694.0
6D,MONTGOMERY VILLAGE,2019,12,2019-12,626,638.0
6D,MONTGOMERY VILLAGE,2020,1,2020-01,661,676.0
6D,MONTGOMERY VILLAGE,2020,2,2020-02,634,651.0
6D,MONTGOMERY VILLAGE,2020,3,2020-03,618,635.0
6D,MONTGOMERY VILLAGE,2020,4,2020-04,443,457.0
6D,MONTGOMERY VILLAGE,2020,5,2020-05,476,491.0
6D,MONTGOMERY VILLAGE,2020,6,2020-06,564,581.0
6D,MONTGOMERY VILLAGE,2020,7,2020-07,632,647.0
6D,MONTGOMERY VILLAGE,2020,8,2020-08,654,677.0
6D,MONTGOMERY VILLAGE,2020,9,2020-09,633,644.0
6D,MONTGOMERY VILLAGE,2020,10,2020-10,622,644.0
6D,MONTGOMERY VILLAGE,2020,11,2020-11,641,659.0
6D,MONTGOMERY VILLAGE,2020,12,2020-12,640,657.0
6D,MONTGOMERY VILLAGE,2021,1,2021-01,567,578.0
6D,MONTGOMERY VILLAGE,2021,2,2021-02,531,543.0
6D,MONTGOMERY VILLAGE,2021,3,2021-03,590,612.0
6D,MONTGOMERY VILLAGE,2021,4,2021-04,590,610.0
6D,MONTGOMERY VILLAGE,2021,5,2021-05,605,621.0
6D,MONTGOMERY VILLAGE,2021,6,2021-06,581,606.0
6D,MONTGOMERY VILLAGE,2021,7,2021-07,585,598.0
6D,MONTGOMERY VILLAGE,2021,8,2021-08,618,629.0
6D,MONTGOMERY VILLAGE,2021,9,2021-09,646,656.0
6D,MONTGOMERY VILLAGE,2021,10,2021-10,677,701.0
6D,MONTGOMERY VILLAGE,2021,11,2021-11,584,599.0
6D,MONTGOMERY VILLAGE,2021,12,2021-12,623,641.0
6D,MONTGOMERY VILLAGE,2022,1,2022-01,599,619.0
6D,MONTGOMERY VILLAGE,2022,2,2022-02,602,630.0
6D,MONTGOMERY VILLAGE,2022,3,2022-03,639,655.0
6D,MONTGOMERY VILLAGE,2022,4,2022-04,586,605.0
6D,MONTGOMERY VILLAGE,2022,5,2022-05,638,661.0
6D,MONTGOMERY VILLAGE,2022,6,2022-06,680,695.0
6D,MONTGOMERY VILLAGE,2022,7,2022-07,680,704.0
6D,MONTGOMERY VILLAGE,2022,8,2022-08,691,707.0
6D,MONTGOMERY VILLAGE,2022,9,2022-09,692,712.0
6D,MONTGOMERY VILLAGE,2022,10,2022-10,686,698.0
6D,MONTGOMERY VILLAGE,2022,11,2022-11,620,636.0
6D,MONTGOMERY VILLAGE,2022,12,2022-12,640,655.0
6D,MONTGOMERY VILLAGE,2023,1,2023-01,648,671.0
6D,MONTGOMERY VILLAGE,2023,2,2023-02,592,603.0
6D,MONTGOMERY VILLAGE,2023,3,2023-03,716,743.0
6D,MONTGOMERY VILLAGE,2023,4,2023-04,609,625.0
6D,MONTGOMERY VILLAGE,2023,5,2023-05,741,753.0
6D,MONTGOMERY VILLAGE,2023,6,2023-06,729,741.0
6D,MONTGOMERY VILLAGE,2023,7,2023-07,608,636.0
6D,MONTGOMERY VILLAGE,2023,8,2023-08,583,604.0
6D,MONTGOMERY VILLAGE,2023,9,2023-09,519,537.0
6D,MONTGOMERY VILLAGE,2023,10,2023-10,683,705.0
6D,MONTGOMERY VILLAGE,2023,11,2023-11,569,594.0
6D,MONTGOMERY VILLAGE,2023,12,2023-12,521,536.0
6D,MONTGOMERY VILLAGE,2024,1,2024-01,512,540.0
6D,MONTGOMERY VILLAGE,2024,2,2024-02,522,544.0
6D,MONTGOMERY VILLAGE,2024,3,2024-03,609,622.0
6D,MONTGOMERY VILLAGE,2024,4,2024-04,588,602.0
6D,MONTGOMERY VILLAGE,2024,5,2024-05,663,688.0
6D,MONTGOMERY VILLAGE,2024,6,2024-06,607,635.0
6D,MONTGOMERY VILLAGE,2024,7,2024-07,648,659.0
6D,MONTGOMERY VILLAGE,2024,8,2024-08,631,643.0
6D,MONTGOMERY VILLAGE,2024,9,2024-09,707,733.0
6D,MONTGOMERY VILLAGE,2024,10,2024-10,635,653.0
6D,MONTGOMERY VILLAGE,2024,11,2024-11,590,605.0
6D,MONTGOMERY VILLAGE,2024,12,2024-12,556,566.0
6D,MONTGOMERY VILLAGE,2025,1,2025-01,565,575.0
6D,MONTGOMERY VILLAGE,2025,2,2025-02,472,481.0
6D,MONTGOMERY VILLAGE,2025,3,2025-03,550,575.0
6D,MONTGOMERY VILLAGE,2025,4,2025-04,571,585.0
6D,MONTGOMERY VILLAGE,2025,5,2025-05,677,699.0
6D,MONTGOMERY VILLAGE,2025,6,2025-06,602,612.0
6D,MONTGOMERY VILLAGE,2025,7,2025-07,580,591.0
6D,MONTGOMERY VILLAGE,2025,8,2025-08,590,602.0
6D,MONTGOMERY VILLAGE,2025,9,2025-09,564,588.0
6D,MONTGOMERY VILLAGE,2025,10,2025-10,605,620.0
6D,MONTGOMERY VILLAGE,2025,11,2025-11,537,559.0
6D,MONTGOMERY VILLAGE,2025,12,2025-12,494,513.0
6D,MONTGOMERY VILLAGE,2026,1,2026-01,500,511.0
6D,MONTGOMERY VILLAGE,2026,2,2026-02,529,536.0
6D,MONTGOMERY VILLAGE,2026,3,2026-03,538,554.0
6D,MONTGOMERY VILLAGE,2026,4,2026-04,489,501.0
6D,MONTGOMERY VILLAGE,2026,5,2026-05,551,572.0
6D,MONTGOMERY VILLAGE,2026,6,2026-06,512,529.0
6D,MONTGOMERY VILLAGE,2026,7,2026-07,84,85.0
TPPD,TAKOMA PARK,2016,7,2016-07,70,70.0
TPPD,TAKOMA PARK,2016,8,2016-08,63,63.0
TPPD,TAKOMA PARK,2016,9,2016-09,60,62.0
TPPD,TAKOMA PARK,2016,10,2016-10,55,55.0
TPPD,TAKOMA PARK,2016,11,2016-11,57,57.0
TPPD,TAKOMA PARK,2016,12,2016-12,73,73.0
TPPD,TAKOMA PARK,2017,1,2017-01,80,81.0
TPPD,TAKOMA PARK,2017,2,2017-02,58,58.0
TPPD,TAKOMA PARK,2017,3,2017-03,66,66.0
TPPD,TAKOMA PARK,2017,4,2017-04,121,121.0
TPPD,TAKOMA PARK,2017,5,2017-05,120,120.0
TPPD,TAKOMA PARK,2017,6,2017-06,116,117.0
TPPD,TAKOMA PARK,2017,7,2017-07,97,97.0
TPPD,TAKOMA PARK,2017,8,2017-08,132,132.0
TPPD,TAKOMA PARK,2017,9,2017-09,114,114.0
TPPD,TAKOMA PARK,2017,10,2017-10,109,109.0
TPPD,TAKOMA PARK,2017,11,2017-11,111,112.0
TPPD,TAKOMA PARK,2017,12,2017-12,105,106.0
TPPD,TAKOMA PARK,2018,1,2018-01,101,102.0
TPPD,TAKOMA PARK,2018,2,2018-02,103,107.0
TPPD,TAKOMA PARK,2018,3,2018-03,128,128.0
TPPD,TAKOMA PARK,2018,4,2018-04,103,103.0
TPPD,TAKOMA PARK,2018,5,2018-05,113,113.0
TPPD,TAKOMA PARK,2018,6,2018-06,127,128.0
TPPD,TAKOMA PARK,2018,7,2018-07,85,86.0
TPPD,TAKOMA PARK,2018,8,2018-08,96,96.0
TPPD,TAKOMA PARK,2018,9,2018-09,77,79.0
TPPD,TAKOMA PARK,2018,10,2018-10,105,105.0
TPPD,TAKOMA PARK,2018,11,2018-11,106,108.0
TPPD,TAKOMA PARK,2018,12,2018-12,115,115.0
TPPD,TAKOMA PARK,2019,1,2019-01,94,94.0
TPPD,TAKOMA PARK,2019,2,2019-02,80,81.0
TPPD,TAKOMA PARK,2019,3,2019-03,111,112.0
TPPD,TAKOMA PARK,2019,4,2019-04,118,121.0
TPPD,TAKOMA PARK,2019,5,2019-05,146,147.0
TPPD,TAKOMA PARK,2019,6,2019-06,103,106.0
TPPD,TAKOMA PARK,2019,7,2019-07,89,90.0
TPPD,TAKOMA PARK,2019,8,2019-08,136,138.0
TPPD,TAKOMA PARK,2019,9,2019-09,95,96.0
TPPD,TAKOMA PARK,2019,10,2019-10,124,126.0
TPPD,TAKOMA PARK,2019,11,2019-11,105,107.0
TPPD,TAKOMA PARK,2019,12,2019-12,103,104.0
TPPD,TAKOMA PARK,2020,1,2020-01,131,134.0
TPPD,TAKOMA PARK,2020,2,2020-02,115,115.0
TPPD,TAKOMA PARK,2020,3,2020-03,103,104.0
TPPD,TAKOMA PARK,2020,4,2020-04,77,77.0
TPPD,TAKOMA PARK,2020,5,2020-05,97,97.0
TPPD,TAKOMA PARK,2020,6,2020-06,88,88.0
TPPD,TAKOMA PARK,2020,7,2020-07,94,94.0
TPPD,TAKOMA PARK,2020,8,2020-08,110,111.0
TPPD,TAKOMA PARK,2020,9,2020-09,99,99.0
TPPD,TAKOMA PARK,2020,10,2020-10,83,85.0
TPPD,TAKOMA PARK,2020,11,2020-11,87,87.0
TPPD,TAKOMA PARK,2020,12,2020-12,92,92.0
TPPD,TAKOMA PARK,2021,1,2021-01,89,90.0
TPPD,TAKOMA PARK,2021,2,2021-02,100,103.0
TPPD,TAKOMA PARK,2021,3,2021-03,120,122.0
TPPD,TAKOMA PARK,2021,4,2021-04,98,100.0
TPPD,TAKOMA PARK,2021,5,2021-05,101,104.0
TPPD,TAKOMA PARK,2021,6,2021-06,102,102.0
TPPD,TAKOMA PARK,2021,7,2021-07,100,100.0
TPPD,TAKOMA PARK,2021,8,2021-08,89,92.0
TPPD,TAKOMA PARK,2021,9,2021-09,87,87.0
TPPD,TAKOMA PARK,2021,10,2021-10,104,104.0
TPPD,TAKOMA PARK,2021,11,2021-11,80,83.0
TPPD,TAKOMA PARK,2021,12,2021-12,93,94.0
TPPD,TAKOMA PARK,2022,1,2022-01,76,76.0
TPPD,TAKOMA PARK,2022,2,2022-02,88,91.0
TPPD,TAKOMA PARK,2022,3,2022-03,113,114.0
TPPD,TAKOMA PARK,2022,4,2022-04,105,106.0
TPPD,TAKOMA PARK,2022,5,2022-05,113,114.0
TPPD,TAKOMA PARK,2022,6,2022-06,123,123.0
TPPD,TAKOMA PARK,2022,7,2022-07,110,112.0
TPPD,TAKOMA PARK,2022,8,2022-08,109,109.0
TPPD,TAKOMA PARK,2022,9,2022-09,118,121.0
TPPD,TAKOMA PARK,2022,10,2022-10,107,109.0
TPPD,TAKOMA PARK,2022,11,2022-11,128,128.0
TPPD,TAKOMA PARK,2022,12,2022-12,118,118.0
TPPD,TAKOMA PARK,2023,1,2023-01,143,144.0
TPPD,TAKOMA PARK,2023,2,2023-02,137,137.0
TPPD,TAKOMA PARK,2023,3,2023-03,163,163.0
TPPD,TAKOMA PARK,2023,4,2023-04,131,132.0
TPPD,TAKOMA PARK,2023,5,2023-05,111,111.0
TPPD,TAKOMA PARK,2023,6,2023-06,135,136.0
TPPD,TAKOMA PARK,2023,7,2023-07,112,113.0
TPPD,TAKOMA PARK,2023,8,2023-08,138,138.0
TPPD,TAKOMA PARK,2023,9,2023-09,92,94.0
TPPD,TAKOMA PARK,2023,10,2023-10,122,122.0
TPPD,TAKOMA PARK,2023,11,2023-11,147,148.0
TPPD,TAKOMA PARK,2023,12,2023-12,88,88.0
TPPD,TAKOMA PARK,2024,1,2024-01,127,127.0
TPPD,TAKOMA PARK,2024,2,2024-02,185,185.0
TPPD,TAKOMA PARK,2024,3,2024-03,193,194.0
TPPD,TAKOMA PARK,2024,4,2024-04,170,170.0
TPPD,TAKOMA PARK,2024,5,2024-05,222,224.0
TPPD,TAKOMA PARK,2024,6,2024-06,170,171.0
TPPD,TAKOMA PARK,2024,7,2024-07,236,238.0
TPPD,TAKOMA PARK,2024,8,2024-08,172,174.0
TPPD,TAKOMA PARK,2024,9,2024-09,96,97.0
TPPD,TAKOMA PARK,2024,10,2024-10,126,128.0
TPPD,TAKOMA PARK,2024,11,2024-11,89,89.0
TPPD,TAKOMA PARK,2024,12,2024-12,77,78.0
TPPD,TAKOMA PARK,2025,1,2025-01,74,74.0
TPPD,TAKOMA PARK,2025,2,2025-02,74,75.0
TPPD,TAKOMA PARK,2025,3,2025-03,124,126.0
TPPD,TAKOMA PARK,2025,4,2025-04,91,91.0
TPPD,TAKOMA PARK,2025,5,2025-05,108,108.0
TPPD,TAKOMA PARK,2025,6,2025-06,110,110.0
TPPD,TAKOMA PARK,2025,7,2025-07,104,105.0
TPPD,TAKOMA PARK,2025,8,2025-08,109,109.0
TPPD,TAKOMA PARK,2025,9,2025-09,87,87.0
TPPD,TAKOMA PARK,2025,10,2025-10,99,99.0
TPPD,TAKOMA PARK,2025,11,2025-11,97,97.0
TPPD,TAKOMA PARK,2025,12,2025-12,100,101.0
TPPD,TAKOMA PARK,2026,1,2026-01,69,72.0
TPPD,TAKOMA PARK,2026,2,2026-02,90,90.0
TPPD,TAKOMA PARK,2026,3,2026-03,87,88.0
TPPD,TAKOMA PARK,2026,4,2026-04,64,65.0
TPPD,TAKOMA PARK,2026,5,2026-05,85,87.0
TPPD,TAKOMA PARK,2026,6,2026-06,68,69.0
TPPD,TAKOMA PARK,2026,7,2026-07,13,13.0
Unkn,<NA>,2016,7,2016-07,7,8.0
Unkn,<NA>,2016,8,2016-08,5,5.0
Unkn,<NA>,2016,9,2016-09,2,2.0
Unkn,<NA>,2016,10,2016-10,3,3.0
Unkn,<NA>,2016,11,2016-11,3,3.0
Unkn,<NA>,2017,8,2017-08,1,1.0
Unkn,<NA>,2017,11,2017-11,1,1.0
Unkn,<NA>,2018,5,2018-05,1,1.0
Unkn,<NA>,2018,10,2018-10,1,1.0
Unkn,<NA>,2018,12,2018-12,3,3.0
Unkn,<NA>,2019,1,2019-01,5,5.0
Unkn,<NA>,2019,2,2019-02,2,2.0
Unkn,<NA>,2019,3,2019-03,6,6.0
Unkn,<NA>,2019,4,2019-04,1,1.0
Unkn,<NA>,2019,5,2019-05,6,6.0
Unkn,<NA>,2019,6,2019-06,4,4.0
Unkn,<NA>,2019,7,2019-07,6,6.0
Unkn,<NA>,2019,8,2019-08,8,9.0
Unkn,<NA>,2019,9,2019-09,3,3.0
Unkn,<NA>,2019,10,2019-10,4,4.0
Unkn,<NA>,2019,11,2019-11,1,1.0
Unkn,<NA>,2019,12,2019-12,1,1.0
Unkn,<NA>,2020,1,2020-01,4,4.0
Unkn,<NA>,2020,2,2020-02,2,2.0
Unkn,<NA>,2020,3,2020-03,19,19.0
Unkn,<NA>,2020,4,2020-04,1,1.0
Unkn,<NA>,2020,5,2020-05,3,3.0
Unkn,<NA>,2020,6,2020-06,2,2.0
Unkn,<NA>,2020,7,2020-07,3,3.0
Unkn,<NA>,2020,8,2020-08,8,8.0
Unkn,<NA>,2020,9,2020-09,3,3.0
Unkn,<NA>,2020,10,2020-10,2,2.0
Unkn,<NA>,2020,11,2020-11,2,2.0
Unkn,<NA>,2020,12,2020-12,3,3.0
Unkn,<NA>,2021,1,2021-01,6,6.0
Unkn,<NA>,2021,2,2021-02,2,2.0
Unkn,<NA>,2021,3,2021-03,3,3.0
Unkn,<NA>,2021,4,2021-04,5,5.0
Unkn,<NA>,2021,5,2021-05,2,2.0
Unkn,<NA>,2021,6,2021-06,3,5.0
Unkn,<NA>,2021,7,2021-07,12,12.0
Unkn,<NA>,2021,8,2021-08,2,2.0
Unkn,<NA>,2021,9,2021-09,4,4.0
Unkn,<NA>,2021,10,2021-10,1,1.0
Unkn,<NA>,2021,11,2021-11,4,4.0
Unkn,<NA>,2021,12,2021-12,3,3.0
Unkn,<NA>,2022,1,2022-01,5,5.0
Unkn,<NA>,2022,2,2022-02,3,3.0
Unkn,<NA>,2022,3,2022-03,3,3.0
Unkn,<NA>,2022,4,2022-04,7,7.0
Unkn,<NA>,2022,5,2022-05,125,129.0
Unkn,<NA>,2022,6,2022-06,1,1.0
Unkn,<NA>,2022,7,2022-07,4,4.0
Unkn,<NA>,2022,8,2022-08,5,5.0
Unkn,<NA>,2022,10,2022-10,3,3.0
Unkn,<NA>,2022,11,2022-11,2,2.0
Unkn,<NA>,2022,12,2022-12,5,5.0
Unkn,<NA>,2023,1,2023-01,3,3.0
Unkn,<NA>,2023,2,2023-02,2,2.0
Unkn,<NA>,2023,3,2023-03,1,1.0
Unkn,<NA>,2023,4,2023-04,1,1.0
Unkn,<NA>,2023,5,2023-05,5,5.0
Unkn,<NA>,2023,6,2023-06,5,5.0
Unkn,<NA>,2023,7,2023-07,4,4.0
Unkn,<NA>,2023,8,2023-08,5,5.0
Unkn,<NA>,2023,9,2023-09,180,186.0
Unkn,<NA>,2023,10,2023-10,9,9.0
Unkn,<NA>,2023,11,2023-11,2,2.0
Unkn,<NA>,2023,12,2023-12,7,7.0
Unkn,<NA>,2024,1,2024-01,8,8.0
Unkn,<NA>,2024,2,2024-02,17,17.0
Unkn,<NA>,2024,3,2024-03,10,11.0
Unkn,<NA>,2024,4,2024-04,14,14.0
Unkn,<NA>,2024,5,2024-05,5,5.0
Unkn,<NA>,2024,6,2024-06,21,21.0
Unkn,<NA>,2024,7,2024-07,28,28.0
Unkn,<NA>,2024,8,2024-08,23,23.0
Unkn,<NA>,2024,9,2024-09,12,12.0
Unkn,<NA>,2024,10,2024-10,19,19.0
Unkn,<NA>,2024,11,2024-11,120,122.0
Unkn,<NA>,2024,12,2024-12,89,89.0
Unkn,<NA>,2025,1,2025-01,22,22.0
Unkn,<NA>,2025,2,2025-02,31,31.0
Unkn,<NA>,2025,3,2025-03,121,121.0
Unkn,<NA>,2025,4,2025-04,8,8.0
Unkn,<NA>,2025,5,2025-05,25,25.0
Unkn,<NA>,2025,6,2025-06,4,4.0
Unkn,<NA>,2025,7,2025-07,41,43.0
Unkn,<NA>,2025,8,2025-08,13,13.0
Unkn,<NA>,2025,9,2025-09,18,18.0
Unkn,<NA>,2025,10,2025-10,6,6.0
Unkn,<NA>,2025,11,2025-11,8,8.0
Unkn,<NA>,2025,12,2025-12,12,12.0
Unkn,<NA>,2026,1,2026-01,13,15.0
Unkn,<NA>,2026,2,2026-02,6,6.0
Unkn,<NA>,2026,3,2026-03,9,9.0
Unkn,<NA>,2026,4,2026-04,9,10.0
Unkn,<NA>,2026,5,2026-05,8,9.0
Unkn,<NA>,2026,6,2026-06,9,10.0
Unkn,<NA>,2026,7,2026-07,1,1.0
