City,State,crime_category_primary,crime_category_secondary,offense_count,incident_count
DERWOOD,MD,Crime Against Property,From Coin/Operated Machine or Device,2,2
DERWOOD,MD,Crime Against Property,Hacking/Computer Invasion,3,3
DERWOOD,MD,Crime Against Property,Identity Theft,223,223
DERWOOD,MD,Crime Against Property,Impersonation,32,32
DERWOOD,MD,Crime Against Property,Motor Vehicle Theft,218,218
DERWOOD,MD,Crime Against Property,Pocket/picking,12,12
DERWOOD,MD,Crime Against Property,Purse-snatching,4,4
DERWOOD,MD,Crime Against Property,Robbery,41,40
DERWOOD,MD,Crime Against Property,Shoplifting,132,132
DERWOOD,MD,Crime Against Property,Stolen Property Offenses,2,2
DERWOOD,MD,Crime Against Property,Theft from Building,178,178
DERWOOD,MD,Crime Against Property,Theft From Motor Vehicle,460,460
DERWOOD,MD,Crime Against Property,Theft of Motor Vehicle Parts or Accessories,176,176
DERWOOD,MD,Crime Against Property,Welfare Fraud,1,1
DERWOOD,MD,Crime Against Property,Wire Fraud,14,14
DERWOOD,MD,Crime Against Society,All Other Offenses,3737,3718
DERWOOD,MD,Crime Against Society,Animal Cruelty,9,9
DERWOOD,MD,Crime Against Society,Assisting or Promoting Prostitution,1,1
DERWOOD,MD,Crime Against Society,Disorderly Conduct,62,61
DERWOOD,MD,Crime Against Society,Driving Under the Influence,328,326
DERWOOD,MD,Crime Against Society,Drug Equipment Violations,24,24
DERWOOD,MD,Crime Against Society,Drug/Narcotic Violations,278,254
DERWOOD,MD,Crime Against Society,"Family Offenses, NonViolent",15,15
DERWOOD,MD,Crime Against Society,Liquor Law Violations,31,30
DERWOOD,MD,Crime Against Society,Pornography/Obscene Material,765,760
DERWOOD,MD,Crime Against Society,Prostitution,2,2
DERWOOD,MD,Crime Against Society,Trespass of Real Property,58,58
DERWOOD,MD,Crime Against Society,Weapon Law Violations,54,54
DICKERSON,MD,Crime Against Not a Crime,Runaway,3,3
DICKERSON,MD,Crime Against Person,Aggravated Assault,9,9
DICKERSON,MD,Crime Against Person,Forcible Fondling,1,1
DICKERSON,MD,Crime Against Person,Forcible Rape,9,7
DICKERSON,MD,Crime Against Person,Intimidation,1,1
DICKERSON,MD,Crime Against Person,Simple Assault,28,28
DICKERSON,MD,Crime Against Property,All other Larceny,26,26
DICKERSON,MD,Crime Against Property,Burglary/Breaking and Entering,35,35
DICKERSON,MD,Crime Against Property,Counterfeiting/Forgery,2,2
DICKERSON,MD,Crime Against Property,Credit Card/Automatic Teller Machine Fraud,9,9
DICKERSON,MD,Crime Against Property,Destruction/Damage/Vandalism of Property,29,29
DICKERSON,MD,Crime Against Property,Embezzlement,2,2
DICKERSON,MD,Crime Against Property,Extortion/Blackmail,1,1
DICKERSON,MD,Crime Against Property,False Pretenses/Swindle/Confidence Game,14,14
DICKERSON,MD,Crime Against Property,Identity Theft,16,16
DICKERSON,MD,Crime Against Property,Impersonation,4,4
DICKERSON,MD,Crime Against Property,Motor Vehicle Theft,3,3
DICKERSON,MD,Crime Against Property,Stolen Property Offenses,1,1
DICKERSON,MD,Crime Against Property,Theft from Building,12,12
DICKERSON,MD,Crime Against Property,Theft From Motor Vehicle,14,14
DICKERSON,MD,Crime Against Property,Theft of Motor Vehicle Parts or Accessories,9,9
DICKERSON,MD,Crime Against Property,Wire Fraud,1,1
DICKERSON,MD,Crime Against Society,All Other Offenses,181,177
DICKERSON,MD,Crime Against Society,Animal Cruelty,3,3
DICKERSON,MD,Crime Against Society,Disorderly Conduct,4,4
DICKERSON,MD,Crime Against Society,Driving Under the Influence,12,12
DICKERSON,MD,Crime Against Society,Drug/Narcotic Violations,6,3
DICKERSON,MD,Crime Against Society,"Family Offenses, NonViolent",1,1
DICKERSON,MD,Crime Against Society,Trespass of Real Property,10,10
DICKERSON,MD,Crime Against Society,Weapon Law Violations,5,5
GAITHERSBURG,MD,Crime Against Not a Crime,Justifiable Homicide,3,3
GAITHERSBURG,MD,Crime Against Not a Crime,Runaway,771,771
GAITHERSBURG,MD,Crime Against Person,Aggravated Assault,1230,1220
GAITHERSBURG,MD,Crime Against Person,Forcible Fondling,425,421
GAITHERSBURG,MD,Crime Against Person,Forcible Rape,654,545
GAITHERSBURG,MD,Crime Against Person,"Human Trafficking, Commercial Sex Acts",22,22
GAITHERSBURG,MD,Crime Against Person,Incest,1,1
GAITHERSBURG,MD,Crime Against Person,Intimidation,105,105
GAITHERSBURG,MD,Crime Against Person,Kidnapping/Abduction,25,25
GAITHERSBURG,MD,Crime Against Person,Murder and Nonnegligent Manslaughter,20,20
GAITHERSBURG,MD,Crime Against Person,Simple Assault,5370,5346
GAITHERSBURG,MD,Crime Against Person,Statuory Rape,28,28
GAITHERSBURG,MD,Crime Against Property,All other Larceny,2673,2672
GAITHERSBURG,MD,Crime Against Property,Arson,80,71
GAITHERSBURG,MD,Crime Against Property,Burglary/Breaking and Entering,1754,1746
GAITHERSBURG,MD,Crime Against Property,Counterfeiting/Forgery,551,550
GAITHERSBURG,MD,Crime Against Property,Credit Card/Automatic Teller Machine Fraud,1140,1140
GAITHERSBURG,MD,Crime Against Property,Destruction/Damage/Vandalism of Property,4133,4121
GAITHERSBURG,MD,Crime Against Property,Embezzlement,126,125
GAITHERSBURG,MD,Crime Against Property,Extortion/Blackmail,87,87
GAITHERSBURG,MD,Crime Against Property,False Pretenses/Swindle/Confidence Game,1503,1502
GAITHERSBURG,MD,Crime Against Property,From Coin/Operated Machine or Device,11,11
GAITHERSBURG,MD,Crime Against Property,Hacking/Computer Invasion,19,19
GAITHERSBURG,MD,Crime Against Property,Identity Theft,1867,1867
GAITHERSBURG,MD,Crime Against Property,Impersonation,176,176
GAITHERSBURG,MD,Crime Against Property,Motor Vehicle Theft,2097,2096
GAITHERSBURG,MD,Crime Against Property,Pocket/picking,91,91
GAITHERSBURG,MD,Crime Against Property,Purse-snatching,88,88
GAITHERSBURG,MD,Crime Against Property,Robbery,689,684
GAITHERSBURG,MD,Crime Against Property,Shoplifting,4228,4228
GAITHERSBURG,MD,Crime Against Property,Stolen Property Offenses,36,36
GAITHERSBURG,MD,Crime Against Property,Theft from Building,2484,2483
GAITHERSBURG,MD,Crime Against Property,Theft From Motor Vehicle,4408,4408
GAITHERSBURG,MD,Crime Against Property,Theft of Motor Vehicle Parts or Accessories,1624,1624
GAITHERSBURG,MD,Crime Against Property,Welfare Fraud,8,8
GAITHERSBURG,MD,Crime Against Property,Wire Fraud,57,57
GAITHERSBURG,MD,Crime Against Society,All Other Offenses,17703,17565
GAITHERSBURG,MD,Crime Against Society,Animal Cruelty,22,22
GAITHERSBURG,MD,Crime Against Society,Assisting or Promoting Prostitution,38,37
GAITHERSBURG,MD,Crime Against Society,Curfew/Loitering/Vagrancy Violations,6,6
GAITHERSBURG,MD,Crime Against Society,Disorderly Conduct,870,856
GAITHERSBURG,MD,Crime Against Society,Driving Under the Influence,4898,4882
GAITHERSBURG,MD,Crime Against Society,Drug Equipment Violations,604,604
GAITHERSBURG,MD,Crime Against Society,Drug/Narcotic Violations,4554,4111
GAITHERSBURG,MD,Crime Against Society,"Family Offenses, NonViolent",182,182
GAITHERSBURG,MD,Crime Against Society,Liquor Law Violations,631,626
GAITHERSBURG,MD,Crime Against Society,Pornography/Obscene Material,53,52
GAITHERSBURG,MD,Crime Against Society,Prostitution,73,73
GAITHERSBURG,MD,Crime Against Society,Trespass of Real Property,639,639
GAITHERSBURG,MD,Crime Against Society,Weapon Law Violations,578,571
GARRETT PARK,MD,Crime Against Person,Aggravated Assault,1,1
GARRETT PARK,MD,Crime Against Person,Forcible Fondling,1,1
GARRETT PARK,MD,Crime Against Person,Forcible Rape,3,2
GARRETT PARK,MD,Crime Against Person,Simple Assault,8,8
GARRETT PARK,MD,Crime Against Property,All other Larceny,12,12
GARRETT PARK,MD,Crime Against Property,Arson,2,2
GARRETT PARK,MD,Crime Against Property,Burglary/Breaking and Entering,11,11
GARRETT PARK,MD,Crime Against Property,Counterfeiting/Forgery,2,2
GARRETT PARK,MD,Crime Against Property,Credit Card/Automatic Teller Machine Fraud,5,5
GARRETT PARK,MD,Crime Against Property,Destruction/Damage/Vandalism of Property,13,13
GARRETT PARK,MD,Crime Against Property,Embezzlement,2,2
GARRETT PARK,MD,Crime Against Property,Extortion/Blackmail,1,1
GARRETT PARK,MD,Crime Against Property,False Pretenses/Swindle/Confidence Game,7,7
GARRETT PARK,MD,Crime Against Property,Identity Theft,10,10
GARRETT PARK,MD,Crime Against Property,Impersonation,1,1
GARRETT PARK,MD,Crime Against Property,Motor Vehicle Theft,7,7
GARRETT PARK,MD,Crime Against Property,Theft from Building,1,1
GARRETT PARK,MD,Crime Against Property,Theft From Motor Vehicle,37,37
GARRETT PARK,MD,Crime Against Property,Theft of Motor Vehicle Parts or Accessories,5,5
GARRETT PARK,MD,Crime Against Society,All Other Offenses,45,45
GARRETT PARK,MD,Crime Against Society,Disorderly Conduct,2,2
GARRETT PARK,MD,Crime Against Society,Driving Under the Influence,4,4
GARRETT PARK,MD,Crime Against Society,Drug Equipment Violations,2,2
GARRETT PARK,MD,Crime Against Society,Drug/Narcotic Violations,9,7
GARRETT PARK,MD,Crime Against Society,Liquor Law Violations,1,1
GARRETT PARK,MD,Crime Against Society,Trespass of Real Property,1,1
GERMANTOWN,MD,Crime Against Not a Crime,Justifiable Homicide,1,1
GERMANTOWN,MD,Crime Against Not a Crime,Runaway,725,725
GERMANTOWN,MD,Crime Against Person,Aggravated Assault,952,945
GERMANTOWN,MD,Crime Against Person,Forcible Fondling,275,274
GERMANTOWN,MD,Crime Against Person,Forcible Rape,393,333
GERMANTOWN,MD,Crime Against Person,"Human Trafficking, Commercial Sex Acts",2,2
GERMANTOWN,MD,Crime Against Person,Incest,2,2
GERMANTOWN,MD,Crime Against Person,Intimidation,57,57
GERMANTOWN,MD,Crime Against Person,Kidnapping/Abduction,9,9
GERMANTOWN,MD,Crime Against Person,Murder and Nonnegligent Manslaughter,24,24
GERMANTOWN,MD,Crime Against Person,Negligent Manslaughter,1,1
GERMANTOWN,MD,Crime Against Person,Simple Assault,4635,4603
GERMANTOWN,MD,Crime Against Person,Statuory Rape,11,11
GERMANTOWN,MD,Crime Against Property,All other Larceny,2132,2130
GERMANTOWN,MD,Crime Against Property,Arson,53,49
GERMANTOWN,MD,Crime Against Property,Burglary/Breaking and Entering,1044,1042
GERMANTOWN,MD,Crime Against Property,Counterfeiting/Forgery,260,259
GERMANTOWN,MD,Crime Against Property,Credit Card/Automatic Teller Machine Fraud,758,758
GERMANTOWN,MD,Crime Against Property,Destruction/Damage/Vandalism of Property,3048,3042
GERMANTOWN,MD,Crime Against Property,Embezzlement,61,61
GERMANTOWN,MD,Crime Against Property,Extortion/Blackmail,87,87
GERMANTOWN,MD,Crime Against Property,False Pretenses/Swindle/Confidence Game,1034,1034
GERMANTOWN,MD,Crime Against Property,From Coin/Operated Machine or Device,9,9
GERMANTOWN,MD,Crime Against Property,Hacking/Computer Invasion,10,10
GERMANTOWN,MD,Crime Against Property,Identity Theft,1139,1139
GERMANTOWN,MD,Crime Against Property,Impersonation,105,105
GERMANTOWN,MD,Crime Against Property,Motor Vehicle Theft,1298,1295
GERMANTOWN,MD,Crime Against Property,Pocket/picking,62,62
GERMANTOWN,MD,Crime Against Property,Purse-snatching,60,60
GERMANTOWN,MD,Crime Against Property,Robbery,511,508
GERMANTOWN,MD,Crime Against Property,Shoplifting,5492,5492
GERMANTOWN,MD,Crime Against Property,Stolen Property Offenses,26,26
GERMANTOWN,MD,Crime Against Property,Theft from Building,1304,1304
GERMANTOWN,MD,Crime Against Property,Theft From Motor Vehicle,3504,3504
GERMANTOWN,MD,Crime Against Property,Theft of Motor Vehicle Parts or Accessories,816,816
GERMANTOWN,MD,Crime Against Property,Welfare Fraud,5,5
GERMANTOWN,MD,Crime Against Property,Wire Fraud,48,48
GERMANTOWN,MD,Crime Against Society,All Other Offenses,10385,10312
GERMANTOWN,MD,Crime Against Society,Animal Cruelty,19,19
GERMANTOWN,MD,Crime Against Society,Assisting or Promoting Prostitution,7,7
GERMANTOWN,MD,Crime Against Society,Disorderly Conduct,551,545
GERMANTOWN,MD,Crime Against Society,Driving Under the Influence,1775,1769
GERMANTOWN,MD,Crime Against Society,Drug Equipment Violations,307,307
GERMANTOWN,MD,Crime Against Society,Drug/Narcotic Violations,2739,2484
GERMANTOWN,MD,Crime Against Society,"Family Offenses, NonViolent",197,195
GERMANTOWN,MD,Crime Against Society,Liquor Law Violations,411,408
GERMANTOWN,MD,Crime Against Society,Operating/Promoting/Assisting Gambling,1,1
GERMANTOWN,MD,Crime Against Society,Pornography/Obscene Material,37,37
GERMANTOWN,MD,Crime Against Society,Prostitution,9,9
GERMANTOWN,MD,Crime Against Society,Trespass of Real Property,574,574
GERMANTOWN,MD,Crime Against Society,Weapon Law Violations,480,470
GLEN ECHO,MD,Crime Against Person,Simple Assault,2,2
GLEN ECHO,MD,Crime Against Property,All other Larceny,8,8
GLEN ECHO,MD,Crime Against Property,Burglary/Breaking and Entering,4,4
GLEN ECHO,MD,Crime Against Property,Counterfeiting/Forgery,3,3
GLEN ECHO,MD,Crime Against Property,Credit Card/Automatic Teller Machine Fraud,5,5
GLEN ECHO,MD,Crime Against Property,Destruction/Damage/Vandalism of Property,5,5
GLEN ECHO,MD,Crime Against Property,Embezzlement,1,1
GLEN ECHO,MD,Crime Against Property,False Pretenses/Swindle/Confidence Game,2,2
GLEN ECHO,MD,Crime Against Property,Identity Theft,7,7
GLEN ECHO,MD,Crime Against Property,Impersonation,2,2
GLEN ECHO,MD,Crime Against Property,Motor Vehicle Theft,1,1
GLEN ECHO,MD,Crime Against Property,Stolen Property Offenses,1,1
GLEN ECHO,MD,Crime Against Property,Theft From Motor Vehicle,31,31
GLEN ECHO,MD,Crime Against Property,Theft of Motor Vehicle Parts or Accessories,3,3
GLEN ECHO,MD,Crime Against Society,All Other Offenses,14,14
GLEN ECHO,MD,Crime Against Society,Driving Under the Influence,1,1
GLEN ECHO,MD,Crime Against Society,Drug Equipment Violations,1,1
GLEN ECHO,MD,Crime Against Society,Drug/Narcotic Violations,2,1
GLEN ECHO,MD,Crime Against Society,Weapon Law Violations,1,1
HIGHLAND,MD,Crime Against Person,Forcible Fondling,1,1
HIGHLAND,MD,Crime Against Person,Simple Assault,3,3
HIGHLAND,MD,Crime Against Property,All other Larceny,2,2
HIGHLAND,MD,Crime Against Property,Destruction/Damage/Vandalism of Property,3,3
HIGHLAND,MD,Crime Against Property,Theft From Motor Vehicle,1,1
HIGHLAND,MD,Crime Against Society,All Other Offenses,7,7
HYATTSVILLE,MD,Crime Against Person,Simple Assault,3,3
HYATTSVILLE,MD,Crime Against Property,All other Larceny,2,2
HYATTSVILLE,MD,Crime Against Property,Burglary/Breaking and Entering,1,1
HYATTSVILLE,MD,Crime Against Property,Credit Card/Automatic Teller Machine Fraud,2,2
HYATTSVILLE,MD,Crime Against Property,Destruction/Damage/Vandalism of Property,4,4
HYATTSVILLE,MD,Crime Against Property,Extortion/Blackmail,1,1
HYATTSVILLE,MD,Crime Against Property,False Pretenses/Swindle/Confidence Game,1,1
HYATTSVILLE,MD,Crime Against Property,Identity Theft,1,1
HYATTSVILLE,MD,Crime Against Property,Motor Vehicle Theft,2,2
HYATTSVILLE,MD,Crime Against Property,Robbery,1,1
HYATTSVILLE,MD,Crime Against Property,Shoplifting,4,4
HYATTSVILLE,MD,Crime Against Property,Theft From Motor Vehicle,3,3
HYATTSVILLE,MD,Crime Against Society,All Other Offenses,36,36
HYATTSVILLE,MD,Crime Against Society,Driving Under the Influence,6,6
HYATTSVILLE,MD,Crime Against Society,Drug/Narcotic Violations,12,12
HYATTSVILLE,MD,Crime Against Society,"Family Offenses, NonViolent",1,1
HYATTSVILLE,MD,Crime Against Society,Trespass of Real Property,1,1
HYATTSVILLE,MD,Crime Against Society,Weapon Law Violations,2,2
KENSINGTON,MD,Crime Against Not a Crime,Runaway,26,26
KENSINGTON,MD,Crime Against Person,Aggravated Assault,64,64
KENSINGTON,MD,Crime Against Person,Forcible Fondling,51,51
KENSINGTON,MD,Crime Against Person,Forcible Rape,60,48
KENSINGTON,MD,Crime Against Person,"Human Trafficking, Commercial Sex Acts",2,2
KENSINGTON,MD,Crime Against Person,Intimidation,10,10
KENSINGTON,MD,Crime Against Person,Murder and Nonnegligent Manslaughter,3,3
KENSINGTON,MD,Crime Against Person,Simple Assault,503,500
KENSINGTON,MD,Crime Against Property,All other Larceny,344,344
KENSINGTON,MD,Crime Against Property,Arson,6,6
KENSINGTON,MD,Crime Against Property,Burglary/Breaking and Entering,319,319
KENSINGTON,MD,Crime Against Property,Counterfeiting/Forgery,75,74
KENSINGTON,MD,Crime Against Property,Credit Card/Automatic Teller Machine Fraud,140,140
KENSINGTON,MD,Crime Against Property,Destruction/Damage/Vandalism of Property,389,388
KENSINGTON,MD,Crime Against Property,Embezzlement,15,15
KENSINGTON,MD,Crime Against Property,Extortion/Blackmail,11,11
KENSINGTON,MD,Crime Against Property,False Pretenses/Swindle/Confidence Game,166,166
KENSINGTON,MD,Crime Against Property,From Coin/Operated Machine or Device,1,1
KENSINGTON,MD,Crime Against Property,Hacking/Computer Invasion,3,3
KENSINGTON,MD,Crime Against Property,Identity Theft,265,265
KENSINGTON,MD,Crime Against Property,Impersonation,67,67
KENSINGTON,MD,Crime Against Property,Motor Vehicle Theft,218,217
KENSINGTON,MD,Crime Against Property,Pocket/picking,27,27
KENSINGTON,MD,Crime Against Property,Purse-snatching,10,10
KENSINGTON,MD,Crime Against Property,Robbery,81,79
KENSINGTON,MD,Crime Against Property,Shoplifting,581,581
KENSINGTON,MD,Crime Against Property,Stolen Property Offenses,2,2
KENSINGTON,MD,Crime Against Property,Theft from Building,238,238
KENSINGTON,MD,Crime Against Property,Theft From Motor Vehicle,815,815
KENSINGTON,MD,Crime Against Property,Theft of Motor Vehicle Parts or Accessories,262,262
KENSINGTON,MD,Crime Against Property,Wire Fraud,10,10
KENSINGTON,MD,Crime Against Society,All Other Offenses,1805,1796
KENSINGTON,MD,Crime Against Society,Animal Cruelty,1,1
KENSINGTON,MD,Crime Against Society,Assisting or Promoting Prostitution,3,3
KENSINGTON,MD,Crime Against Society,Disorderly Conduct,86,86
KENSINGTON,MD,Crime Against Society,Driving Under the Influence,175,175
KENSINGTON,MD,Crime Against Society,Drug Equipment Violations,41,41
KENSINGTON,MD,Crime Against Society,Drug/Narcotic Violations,576,535
KENSINGTON,MD,Crime Against Society,"Family Offenses, NonViolent",14,14
KENSINGTON,MD,Crime Against Society,Liquor Law Violations,97,96
KENSINGTON,MD,Crime Against Society,Pornography/Obscene Material,5,5
KENSINGTON,MD,Crime Against Society,Prostitution,3,3
KENSINGTON,MD,Crime Against Society,Trespass of Real Property,88,88
KENSINGTON,MD,Crime Against Society,Weapon Law Violations,77,74
LAUREL,MD,Crime Against Person,Aggravated Assault,1,1
LAUREL,MD,Crime Against Property,All other Larceny,4,4
LAUREL,MD,Crime Against Property,Burglary/Breaking and Entering,10,10
LAUREL,MD,Crime Against Property,Counterfeiting/Forgery,1,1
LAUREL,MD,Crime Against Property,Destruction/Damage/Vandalism of Property,7,7
LAUREL,MD,Crime Against Property,Embezzlement,1,1
LAUREL,MD,Crime Against Property,False Pretenses/Swindle/Confidence Game,2,2
LAUREL,MD,Crime Against Property,Identity Theft,4,4
LAUREL,MD,Crime Against Property,Motor Vehicle Theft,2,2
LAUREL,MD,Crime Against Property,Theft from Building,2,2
LAUREL,MD,Crime Against Property,Theft From Motor Vehicle,9,9
LAUREL,MD,Crime Against Property,Theft of Motor Vehicle Parts or Accessories,5,5
LAUREL,MD,Crime Against Property,Wire Fraud,1,1
LAUREL,MD,Crime Against Society,All Other Offenses,23,23
LAUREL,MD,Crime Against Society,Driving Under the Influence,2,2
LAUREL,MD,Crime Against Society,Drug/Narcotic Violations,2,2
LAUREL,MD,Crime Against Society,Weapon Law Violations,1,1
MONTGOMERY VILLAGE,MD,Crime Against Not a Crime,Justifiable Homicide,1,1
MONTGOMERY VILLAGE,MD,Crime Against Not a Crime,Runaway,436,436
MONTGOMERY VILLAGE,MD,Crime Against Person,Aggravated Assault,439,432
MONTGOMERY VILLAGE,MD,Crime Against Person,Forcible Fondling,138,137
MONTGOMERY VILLAGE,MD,Crime Against Person,Forcible Rape,192,164
MONTGOMERY VILLAGE,MD,Crime Against Person,Intimidation,23,23
MONTGOMERY VILLAGE,MD,Crime Against Person,Kidnapping/Abduction,9,9
MONTGOMERY VILLAGE,MD,Crime Against Person,Murder and Nonnegligent Manslaughter,8,8
MONTGOMERY VILLAGE,MD,Crime Against Person,Negligent Manslaughter,1,1
MONTGOMERY VILLAGE,MD,Crime Against Person,Simple Assault,1534,1524
MONTGOMERY VILLAGE,MD,Crime Against Person,Statuory Rape,14,14
MONTGOMERY VILLAGE,MD,Crime Against Property,All other Larceny,612,612
MONTGOMERY VILLAGE,MD,Crime Against Property,Arson,17,17
MONTGOMERY VILLAGE,MD,Crime Against Property,Bribery,1,1
MONTGOMERY VILLAGE,MD,Crime Against Property,Burglary/Breaking and Entering,418,418
MONTGOMERY VILLAGE,MD,Crime Against Property,Counterfeiting/Forgery,67,67
MONTGOMERY VILLAGE,MD,Crime Against Property,Credit Card/Automatic Teller Machine Fraud,217,217
MONTGOMERY VILLAGE,MD,Crime Against Property,Destruction/Damage/Vandalism of Property,1268,1264
MONTGOMERY VILLAGE,MD,Crime Against Property,Embezzlement,16,16
MONTGOMERY VILLAGE,MD,Crime Against Property,Extortion/Blackmail,21,21
MONTGOMERY VILLAGE,MD,Crime Against Property,False Pretenses/Swindle/Confidence Game,305,304
MONTGOMERY VILLAGE,MD,Crime Against Property,Hacking/Computer Invasion,3,3
MONTGOMERY VILLAGE,MD,Crime Against Property,Identity Theft,300,300
MONTGOMERY VILLAGE,MD,Crime Against Property,Impersonation,36,36
MONTGOMERY VILLAGE,MD,Crime Against Property,Motor Vehicle Theft,662,661
MONTGOMERY VILLAGE,MD,Crime Against Property,Pocket/picking,8,8
MONTGOMERY VILLAGE,MD,Crime Against Property,Purse-snatching,21,21
MONTGOMERY VILLAGE,MD,Crime Against Property,Robbery,284,282
MONTGOMERY VILLAGE,MD,Crime Against Property,Shoplifting,211,211
MONTGOMERY VILLAGE,MD,Crime Against Property,Stolen Property Offenses,9,9
MONTGOMERY VILLAGE,MD,Crime Against Property,Theft from Building,378,378
MONTGOMERY VILLAGE,MD,Crime Against Property,Theft From Motor Vehicle,1437,1437
MONTGOMERY VILLAGE,MD,Crime Against Property,Theft of Motor Vehicle Parts or Accessories,370,370
MONTGOMERY VILLAGE,MD,Crime Against Property,Welfare Fraud,1,1
MONTGOMERY VILLAGE,MD,Crime Against Property,Wire Fraud,19,19
MONTGOMERY VILLAGE,MD,Crime Against Society,All Other Offenses,3496,3464
MONTGOMERY VILLAGE,MD,Crime Against Society,Animal Cruelty,9,9
MONTGOMERY VILLAGE,MD,Crime Against Society,Disorderly Conduct,171,169
MONTGOMERY VILLAGE,MD,Crime Against Society,Driving Under the Influence,387,385
MONTGOMERY VILLAGE,MD,Crime Against Society,Drug Equipment Violations,148,148
MONTGOMERY VILLAGE,MD,Crime Against Society,Drug/Narcotic Violations,961,873
MONTGOMERY VILLAGE,MD,Crime Against Society,"Family Offenses, NonViolent",53,52
MONTGOMERY VILLAGE,MD,Crime Against Society,Liquor Law Violations,84,81
MONTGOMERY VILLAGE,MD,Crime Against Society,Pornography/Obscene Material,19,19
MONTGOMERY VILLAGE,MD,Crime Against Society,Prostitution,1,1
MONTGOMERY VILLAGE,MD,Crime Against Society,Trespass of Real Property,155,155
MONTGOMERY VILLAGE,MD,Crime Against Society,Weapon Law Violations,190,186
OLNEY,MD,Crime Against Not a Crime,Runaway,68,68
OLNEY,MD,Crime Against Person,Aggravated Assault,60,58
OLNEY,MD,Crime Against Person,Forcible Fondling,41,41
OLNEY,MD,Crime Against Person,Forcible Rape,53,42
OLNEY,MD,Crime Against Person,Intimidation,12,12
OLNEY,MD,Crime Against Person,Kidnapping/Abduction,3,3
OLNEY,MD,Crime Against Person,Murder and Nonnegligent Manslaughter,2,2
OLNEY,MD,Crime Against Person,Simple Assault,429,425
OLNEY,MD,Crime Against Person,Statuory Rape,3,3
OLNEY,MD,Crime Against Property,All other Larceny,338,338
OLNEY,MD,Crime Against Property,Arson,9,7
OLNEY,MD,Crime Against Property,Burglary/Breaking and Entering,161,159
OLNEY,MD,Crime Against Property,Counterfeiting/Forgery,94,94
OLNEY,MD,Crime Against Property,Credit Card/Automatic Teller Machine Fraud,189,189
OLNEY,MD,Crime Against Property,Destruction/Damage/Vandalism of Property,465,463
OLNEY,MD,Crime Against Property,Embezzlement,16,16
OLNEY,MD,Crime Against Property,Extortion/Blackmail,17,17
OLNEY,MD,Crime Against Property,False Pretenses/Swindle/Confidence Game,197,197
OLNEY,MD,Crime Against Property,From Coin/Operated Machine or Device,1,1
OLNEY,MD,Crime Against Property,Hacking/Computer Invasion,2,2
OLNEY,MD,Crime Against Property,Identity Theft,370,370
OLNEY,MD,Crime Against Property,Impersonation,49,49
OLNEY,MD,Crime Against Property,Motor Vehicle Theft,200,200
OLNEY,MD,Crime Against Property,Pocket/picking,20,20
OLNEY,MD,Crime Against Property,Purse-snatching,7,7
OLNEY,MD,Crime Against Property,Robbery,30,29
OLNEY,MD,Crime Against Property,Shoplifting,372,372
OLNEY,MD,Crime Against Property,Stolen Property Offenses,2,2
OLNEY,MD,Crime Against Property,Theft from Building,212,212
OLNEY,MD,Crime Against Property,Theft From Motor Vehicle,653,653
OLNEY,MD,Crime Against Property,Theft of Motor Vehicle Parts or Accessories,146,146
OLNEY,MD,Crime Against Property,Welfare Fraud,1,1
OLNEY,MD,Crime Against Property,Wire Fraud,12,12
OLNEY,MD,Crime Against Society,All Other Offenses,1874,1853
OLNEY,MD,Crime Against Society,Animal Cruelty,1,1
OLNEY,MD,Crime Against Society,Disorderly Conduct,83,81
OLNEY,MD,Crime Against Society,Driving Under the Influence,235,232
OLNEY,MD,Crime Against Society,Drug Equipment Violations,33,33
OLNEY,MD,Crime Against Society,Drug/Narcotic Violations,314,283
OLNEY,MD,Crime Against Society,"Family Offenses, NonViolent",20,20
OLNEY,MD,Crime Against Society,Liquor Law Violations,89,87
OLNEY,MD,Crime Against Society,Pornography/Obscene Material,8,8
OLNEY,MD,Crime Against Society,Prostitution,3,3
OLNEY,MD,Crime Against Society,Trespass of Real Property,61,61
OLNEY,MD,Crime Against Society,Weapon Law Violations,36,33
POOLESVILLE,MD,Crime Against Not a Crime,Justifiable Homicide,1,1
POOLESVILLE,MD,Crime Against Not a Crime,Runaway,10,10
POOLESVILLE,MD,Crime Against Person,Aggravated Assault,22,22
POOLESVILLE,MD,Crime Against Person,Forcible Fondling,13,13
POOLESVILLE,MD,Crime Against Person,Forcible Rape,19,17
POOLESVILLE,MD,Crime Against Person,Intimidation,6,6
POOLESVILLE,MD,Crime Against Person,Simple Assault,173,170
POOLESVILLE,MD,Crime Against Property,All other Larceny,61,61
POOLESVILLE,MD,Crime Against Property,Arson,4,4
POOLESVILLE,MD,Crime Against Property,Burglary/Breaking and Entering,61,60
POOLESVILLE,MD,Crime Against Property,Counterfeiting/Forgery,14,14
POOLESVILLE,MD,Crime Against Property,Credit Card/Automatic Teller Machine Fraud,30,30
POOLESVILLE,MD,Crime Against Property,Destruction/Damage/Vandalism of Property,114,113
POOLESVILLE,MD,Crime Against Property,Embezzlement,3,3
POOLESVILLE,MD,Crime Against Property,Extortion/Blackmail,6,6
POOLESVILLE,MD,Crime Against Property,False Pretenses/Swindle/Confidence Game,27,27
POOLESVILLE,MD,Crime Against Property,Hacking/Computer Invasion,1,1
