district_number,district_name,crime_category_primary,crime_category_secondary,offense_count,incident_count,total_victims
TPPD,TAKOMA PARK,Crime Against Society,Curfew/Loitering/Vagrancy Violations,6,6,6.0
TPPD,TAKOMA PARK,Crime Against Society,Disorderly Conduct,234,228,237.0
TPPD,TAKOMA PARK,Crime Against Society,Driving Under the Influence,161,161,162.0
TPPD,TAKOMA PARK,Crime Against Society,Drug Equipment Violations,79,79,79.0
TPPD,TAKOMA PARK,Crime Against Society,Drug/Narcotic Violations,466,441,466.0
TPPD,TAKOMA PARK,Crime Against Society,"Family Offenses, NonViolent",52,52,52.0
TPPD,TAKOMA PARK,Crime Against Society,Liquor Law Violations,76,76,77.0
TPPD,TAKOMA PARK,Crime Against Society,Pornography/Obscene Material,5,5,5.0
TPPD,TAKOMA PARK,Crime Against Society,Prostitution,7,7,7.0
TPPD,TAKOMA PARK,Crime Against Society,Trespass of Real Property,168,168,168.0
TPPD,TAKOMA PARK,Crime Against Society,Weapon Law Violations,88,86,88.0
Unkn,<NA>,Crime Against Not a Crime,Runaway,11,11,11.0
Unkn,<NA>,Crime Against Person,Aggravated Assault,29,29,29.0
Unkn,<NA>,Crime Against Person,Forcible Fondling,9,9,10.0
Unkn,<NA>,Crime Against Person,Forcible Rape,5,5,5.0
Unkn,<NA>,Crime Against Person,Intimidation,6,6,6.0
Unkn,<NA>,Crime Against Person,Simple Assault,130,130,153.0
Unkn,<NA>,Crime Against Person,Statuory Rape,2,2,2.0
Unkn,<NA>,Crime Against Property,All other Larceny,60,60,60.0
Unkn,<NA>,Crime Against Property,Arson,1,1,1.0
Unkn,<NA>,Crime Against Property,Burglary/Breaking and Entering,47,47,47.0
Unkn,<NA>,Crime Against Property,Counterfeiting/Forgery,12,12,12.0
Unkn,<NA>,Crime Against Property,Credit Card/Automatic Teller Machine Fraud,21,21,21.0
Unkn,<NA>,Crime Against Property,Destruction/Damage/Vandalism of Property,93,91,94.0
Unkn,<NA>,Crime Against Property,Embezzlement,6,6,6.0
Unkn,<NA>,Crime Against Property,Extortion/Blackmail,3,3,3.0
Unkn,<NA>,Crime Against Property,False Pretenses/Swindle/Confidence Game,27,27,27.0
Unkn,<NA>,Crime Against Property,From Coin/Operated Machine or Device,1,1,1.0
Unkn,<NA>,Crime Against Property,Identity Theft,30,30,30.0
Unkn,<NA>,Crime Against Property,Impersonation,3,3,3.0
Unkn,<NA>,Crime Against Property,Motor Vehicle Theft,74,74,74.0
Unkn,<NA>,Crime Against Property,Pocket/picking,3,3,3.0
Unkn,<NA>,Crime Against Property,Purse-snatching,1,1,1.0
Unkn,<NA>,Crime Against Property,Robbery,14,14,14.0
Unkn,<NA>,Crime Against Property,Shoplifting,138,138,138.0
Unkn,<NA>,Crime Against Property,Stolen Property Offenses,1,1,1.0
Unkn,<NA>,Crime Against Property,Theft from Building,36,36,36.0
Unkn,<NA>,Crime Against Property,Theft From Motor Vehicle,104,104,104.0
Unkn,<NA>,Crime Against Property,Theft of Motor Vehicle Parts or Accessories,47,47,47.0
Unkn,<NA>,Crime Against Society,All Other Offenses,346,344,347.0
Unkn,<NA>,Crime Against Society,Animal Cruelty,1,1,1.0
Unkn,<NA>,Crime Against Society,Disorderly Conduct,16,15,17.0
Unkn,<NA>,Crime Against Society,Driving Under the Influence,52,52,52.0
Unkn,<NA>,Crime Against Society,Drug Equipment Violations,4,4,4.0
Unkn,<NA>,Crime Against Society,Drug/Narcotic Violations,25,25,25.0
Unkn,<NA>,Crime Against Society,"Family Offenses, NonViolent",2,2,2.0
Unkn,<NA>,Crime Against Society,Liquor Law Violations,11,11,11.0
Unkn,<NA>,Crime Against Society,Trespass of Real Property,21,21,21.0
Unkn,<NA>,Crime Against Society,Weapon Law Violations,9,9,9.0
