City,State,year_number,month_number,month_period,total_incidents,total_victims
OLNEY,MD,2025,5,2025-05,59,60.0
OLNEY,MD,2025,6,2025-06,56,58.0
OLNEY,MD,2025,7,2025-07,46,46.0
OLNEY,MD,2025,8,2025-08,51,51.0
OLNEY,MD,2025,9,2025-09,37,38.0
OLNEY,MD,2025,10,2025-10,35,35.0
OLNEY,MD,2025,11,2025-11,46,48.0
OLNEY,MD,2025,12,2025-12,35,35.0
OLNEY,MD,2026,1,2026-01,49,50.0
OLNEY,MD,2026,2,2026-02,36,36.0
OLNEY,MD,2026,3,2026-03,34,34.0
OLNEY,MD,2026,4,2026-04,43,43.0
OLNEY,MD,2026,5,2026-05,62,62.0
OLNEY,MD,2026,6,2026-06,33,34.0
OLNEY,MD,2026,7,2026-07,4,4.0
POOLESVILLE,MD,2016,7,2016-07,10,10.0
POOLESVILLE,MD,2016,8,2016-08,7,8.0
POOLESVILLE,MD,2016,9,2016-09,19,19.0
POOLESVILLE,MD,2016,10,2016-10,15,15.0
POOLESVILLE,MD,2016,11,2016-11,17,19.0
POOLESVILLE,MD,2016,12,2016-12,12,12.0
POOLESVILLE,MD,2017,1,2017-01,14,14.0
POOLESVILLE,MD,2017,2,2017-02,7,7.0
POOLESVILLE,MD,2017,3,2017-03,8,8.0
POOLESVILLE,MD,2017,4,2017-04,10,11.0
POOLESVILLE,MD,2017,5,2017-05,9,9.0
POOLESVILLE,MD,2017,6,2017-06,11,11.0
POOLESVILLE,MD,2017,7,2017-07,8,8.0
POOLESVILLE,MD,2017,8,2017-08,8,8.0
POOLESVILLE,MD,2017,9,2017-09,18,18.0
POOLESVILLE,MD,2017,10,2017-10,11,11.0
POOLESVILLE,MD,2017,11,2017-11,10,10.0
POOLESVILLE,MD,2017,12,2017-12,7,7.0
POOLESVILLE,MD,2018,1,2018-01,17,19.0
POOLESVILLE,MD,2018,2,2018-02,6,6.0
POOLESVILLE,MD,2018,3,2018-03,8,8.0
POOLESVILLE,MD,2018,4,2018-04,10,10.0
POOLESVILLE,MD,2018,5,2018-05,10,10.0
POOLESVILLE,MD,2018,6,2018-06,10,10.0
POOLESVILLE,MD,2018,7,2018-07,13,15.0
POOLESVILLE,MD,2018,8,2018-08,9,9.0
POOLESVILLE,MD,2018,9,2018-09,12,12.0
POOLESVILLE,MD,2018,10,2018-10,9,9.0
POOLESVILLE,MD,2018,11,2018-11,14,14.0
POOLESVILLE,MD,2018,12,2018-12,14,14.0
POOLESVILLE,MD,2019,1,2019-01,11,11.0
POOLESVILLE,MD,2019,2,2019-02,10,10.0
POOLESVILLE,MD,2019,3,2019-03,9,10.0
POOLESVILLE,MD,2019,4,2019-04,16,16.0
POOLESVILLE,MD,2019,5,2019-05,13,13.0
POOLESVILLE,MD,2019,6,2019-06,17,17.0
POOLESVILLE,MD,2019,7,2019-07,14,14.0
POOLESVILLE,MD,2019,8,2019-08,14,14.0
POOLESVILLE,MD,2019,9,2019-09,13,13.0
POOLESVILLE,MD,2019,10,2019-10,13,13.0
POOLESVILLE,MD,2019,11,2019-11,14,15.0
POOLESVILLE,MD,2019,12,2019-12,10,10.0
POOLESVILLE,MD,2020,1,2020-01,10,10.0
POOLESVILLE,MD,2020,2,2020-02,9,9.0
POOLESVILLE,MD,2020,3,2020-03,11,11.0
POOLESVILLE,MD,2020,4,2020-04,8,8.0
POOLESVILLE,MD,2020,5,2020-05,12,13.0
POOLESVILLE,MD,2020,6,2020-06,14,16.0
POOLESVILLE,MD,2020,7,2020-07,16,16.0
POOLESVILLE,MD,2020,8,2020-08,7,8.0
POOLESVILLE,MD,2020,9,2020-09,10,10.0
POOLESVILLE,MD,2020,10,2020-10,14,14.0
POOLESVILLE,MD,2020,11,2020-11,14,14.0
POOLESVILLE,MD,2020,12,2020-12,7,7.0
POOLESVILLE,MD,2021,1,2021-01,16,17.0
POOLESVILLE,MD,2021,2,2021-02,10,10.0
POOLESVILLE,MD,2021,3,2021-03,10,10.0
POOLESVILLE,MD,2021,4,2021-04,11,11.0
POOLESVILLE,MD,2021,5,2021-05,11,12.0
POOLESVILLE,MD,2021,6,2021-06,7,7.0
POOLESVILLE,MD,2021,7,2021-07,9,10.0
POOLESVILLE,MD,2021,8,2021-08,11,11.0
POOLESVILLE,MD,2021,9,2021-09,4,4.0
POOLESVILLE,MD,2021,10,2021-10,14,15.0
POOLESVILLE,MD,2021,11,2021-11,9,10.0
POOLESVILLE,MD,2021,12,2021-12,12,13.0
POOLESVILLE,MD,2022,1,2022-01,17,17.0
POOLESVILLE,MD,2022,2,2022-02,10,10.0
POOLESVILLE,MD,2022,3,2022-03,26,27.0
POOLESVILLE,MD,2022,4,2022-04,10,10.0
POOLESVILLE,MD,2022,5,2022-05,12,12.0
POOLESVILLE,MD,2022,6,2022-06,14,14.0
POOLESVILLE,MD,2022,7,2022-07,14,14.0
POOLESVILLE,MD,2022,8,2022-08,20,20.0
POOLESVILLE,MD,2022,9,2022-09,21,21.0
POOLESVILLE,MD,2022,10,2022-10,8,8.0
POOLESVILLE,MD,2022,11,2022-11,7,8.0
POOLESVILLE,MD,2022,12,2022-12,13,14.0
POOLESVILLE,MD,2023,1,2023-01,8,9.0
POOLESVILLE,MD,2023,2,2023-02,22,22.0
POOLESVILLE,MD,2023,3,2023-03,9,10.0
POOLESVILLE,MD,2023,4,2023-04,12,12.0
POOLESVILLE,MD,2023,5,2023-05,8,8.0
POOLESVILLE,MD,2023,6,2023-06,14,14.0
POOLESVILLE,MD,2023,7,2023-07,7,7.0
POOLESVILLE,MD,2023,8,2023-08,6,6.0
POOLESVILLE,MD,2023,9,2023-09,8,8.0
POOLESVILLE,MD,2023,10,2023-10,12,12.0
POOLESVILLE,MD,2023,11,2023-11,12,14.0
POOLESVILLE,MD,2023,12,2023-12,6,6.0
POOLESVILLE,MD,2024,1,2024-01,8,8.0
POOLESVILLE,MD,2024,2,2024-02,8,8.0
POOLESVILLE,MD,2024,3,2024-03,8,8.0
POOLESVILLE,MD,2024,4,2024-04,10,11.0
POOLESVILLE,MD,2024,5,2024-05,20,20.0
POOLESVILLE,MD,2024,6,2024-06,11,12.0
POOLESVILLE,MD,2024,7,2024-07,10,10.0
POOLESVILLE,MD,2024,8,2024-08,17,17.0
POOLESVILLE,MD,2024,9,2024-09,17,17.0
POOLESVILLE,MD,2024,10,2024-10,15,17.0
POOLESVILLE,MD,2024,11,2024-11,13,13.0
POOLESVILLE,MD,2024,12,2024-12,14,14.0
POOLESVILLE,MD,2025,1,2025-01,8,8.0
POOLESVILLE,MD,2025,2,2025-02,9,9.0
POOLESVILLE,MD,2025,3,2025-03,9,9.0
POOLESVILLE,MD,2025,4,2025-04,15,15.0
POOLESVILLE,MD,2025,5,2025-05,9,9.0
POOLESVILLE,MD,2025,6,2025-06,9,10.0
POOLESVILLE,MD,2025,7,2025-07,10,10.0
POOLESVILLE,MD,2025,8,2025-08,13,13.0
POOLESVILLE,MD,2025,9,2025-09,11,12.0
POOLESVILLE,MD,2025,10,2025-10,11,11.0
POOLESVILLE,MD,2025,11,2025-11,15,16.0
POOLESVILLE,MD,2025,12,2025-12,11,11.0
POOLESVILLE,MD,2026,1,2026-01,2,2.0
POOLESVILLE,MD,2026,2,2026-02,11,12.0
POOLESVILLE,MD,2026,3,2026-03,6,6.0
POOLESVILLE,MD,2026,4,2026-04,3,3.0
POOLESVILLE,MD,2026,5,2026-05,6,6.0
POOLESVILLE,MD,2026,6,2026-06,9,9.0
POTOMAC,MD,2016,7,2016-07,68,69.0
POTOMAC,MD,2016,8,2016-08,76,76.0
POTOMAC,MD,2016,9,2016-09,72,72.0
POTOMAC,MD,2016,10,2016-10,72,72.0
POTOMAC,MD,2016,11,2016-11,70,71.0
POTOMAC,MD,2016,12,2016-12,71,71.0
POTOMAC,MD,2017,1,2017-01,101,101.0
POTOMAC,MD,2017,2,2017-02,51,51.0
POTOMAC,MD,2017,3,2017-03,87,87.0
POTOMAC,MD,2017,4,2017-04,68,68.0
POTOMAC,MD,2017,5,2017-05,87,87.0
POTOMAC,MD,2017,6,2017-06,83,84.0
POTOMAC,MD,2017,7,2017-07,85,85.0
POTOMAC,MD,2017,8,2017-08,89,90.0
POTOMAC,MD,2017,9,2017-09,65,68.0
POTOMAC,MD,2017,10,2017-10,68,70.0
POTOMAC,MD,2017,11,2017-11,85,85.0
POTOMAC,MD,2017,12,2017-12,91,91.0
POTOMAC,MD,2018,1,2018-01,101,102.0
POTOMAC,MD,2018,2,2018-02,77,78.0
POTOMAC,MD,2018,3,2018-03,87,89.0
POTOMAC,MD,2018,4,2018-04,85,85.0
POTOMAC,MD,2018,5,2018-05,92,92.0
POTOMAC,MD,2018,6,2018-06,83,83.0
POTOMAC,MD,2018,7,2018-07,72,72.0
POTOMAC,MD,2018,8,2018-08,82,82.0
POTOMAC,MD,2018,9,2018-09,88,88.0
POTOMAC,MD,2018,10,2018-10,99,99.0
POTOMAC,MD,2018,11,2018-11,80,80.0
POTOMAC,MD,2018,12,2018-12,98,101.0
POTOMAC,MD,2019,1,2019-01,86,88.0
POTOMAC,MD,2019,2,2019-02,79,80.0
POTOMAC,MD,2019,3,2019-03,92,95.0
POTOMAC,MD,2019,4,2019-04,87,87.0
POTOMAC,MD,2019,5,2019-05,97,97.0
POTOMAC,MD,2019,6,2019-06,76,76.0
POTOMAC,MD,2019,7,2019-07,81,82.0
POTOMAC,MD,2019,8,2019-08,98,99.0
POTOMAC,MD,2019,9,2019-09,78,78.0
POTOMAC,MD,2019,10,2019-10,86,86.0
POTOMAC,MD,2019,11,2019-11,80,82.0
POTOMAC,MD,2019,12,2019-12,84,84.0
POTOMAC,MD,2020,1,2020-01,91,91.0
POTOMAC,MD,2020,2,2020-02,77,77.0
POTOMAC,MD,2020,3,2020-03,76,78.0
POTOMAC,MD,2020,4,2020-04,61,63.0
POTOMAC,MD,2020,5,2020-05,76,76.0
POTOMAC,MD,2020,6,2020-06,80,81.0
POTOMAC,MD,2020,7,2020-07,84,84.0
POTOMAC,MD,2020,8,2020-08,79,79.0
POTOMAC,MD,2020,9,2020-09,76,76.0
POTOMAC,MD,2020,10,2020-10,64,66.0
POTOMAC,MD,2020,11,2020-11,83,85.0
POTOMAC,MD,2020,12,2020-12,90,90.0
POTOMAC,MD,2021,1,2021-01,79,81.0
POTOMAC,MD,2021,2,2021-02,96,96.0
POTOMAC,MD,2021,3,2021-03,110,113.0
POTOMAC,MD,2021,4,2021-04,52,52.0
POTOMAC,MD,2021,5,2021-05,95,96.0
POTOMAC,MD,2021,6,2021-06,73,73.0
POTOMAC,MD,2021,7,2021-07,60,61.0
POTOMAC,MD,2021,8,2021-08,91,91.0
POTOMAC,MD,2021,9,2021-09,84,84.0
POTOMAC,MD,2021,10,2021-10,107,110.0
POTOMAC,MD,2021,11,2021-11,56,57.0
POTOMAC,MD,2021,12,2021-12,66,66.0
POTOMAC,MD,2022,1,2022-01,93,93.0
POTOMAC,MD,2022,2,2022-02,76,76.0
POTOMAC,MD,2022,3,2022-03,97,97.0
POTOMAC,MD,2022,4,2022-04,75,75.0
POTOMAC,MD,2022,5,2022-05,75,77.0
POTOMAC,MD,2022,6,2022-06,89,89.0
POTOMAC,MD,2022,7,2022-07,79,79.0
POTOMAC,MD,2022,8,2022-08,81,87.0
POTOMAC,MD,2022,9,2022-09,72,73.0
POTOMAC,MD,2022,10,2022-10,74,75.0
POTOMAC,MD,2022,11,2022-11,69,69.0
POTOMAC,MD,2022,12,2022-12,105,105.0
POTOMAC,MD,2023,1,2023-01,87,90.0
POTOMAC,MD,2023,2,2023-02,58,58.0
POTOMAC,MD,2023,3,2023-03,65,65.0
POTOMAC,MD,2023,4,2023-04,81,83.0
POTOMAC,MD,2023,5,2023-05,78,81.0
POTOMAC,MD,2023,6,2023-06,69,69.0
POTOMAC,MD,2023,7,2023-07,61,61.0
POTOMAC,MD,2023,8,2023-08,56,56.0
POTOMAC,MD,2023,9,2023-09,53,54.0
POTOMAC,MD,2023,10,2023-10,47,48.0
POTOMAC,MD,2023,11,2023-11,40,40.0
POTOMAC,MD,2023,12,2023-12,57,57.0
POTOMAC,MD,2024,1,2024-01,62,62.0
POTOMAC,MD,2024,2,2024-02,49,50.0
POTOMAC,MD,2024,3,2024-03,86,88.0
POTOMAC,MD,2024,4,2024-04,81,83.0
POTOMAC,MD,2024,5,2024-05,80,83.0
POTOMAC,MD,2024,6,2024-06,92,97.0
POTOMAC,MD,2024,7,2024-07,60,60.0
POTOMAC,MD,2024,8,2024-08,61,61.0
POTOMAC,MD,2024,9,2024-09,65,65.0
POTOMAC,MD,2024,10,2024-10,92,92.0
POTOMAC,MD,2024,11,2024-11,64,64.0
POTOMAC,MD,2024,12,2024-12,74,74.0
POTOMAC,MD,2025,1,2025-01,56,56.0
POTOMAC,MD,2025,2,2025-02,74,75.0
POTOMAC,MD,2025,3,2025-03,84,84.0
POTOMAC,MD,2025,4,2025-04,82,83.0
POTOMAC,MD,2025,5,2025-05,66,67.0
POTOMAC,MD,2025,6,2025-06,82,82.0
POTOMAC,MD,2025,7,2025-07,77,78.0
POTOMAC,MD,2025,8,2025-08,98,99.0
POTOMAC,MD,2025,9,2025-09,79,79.0
POTOMAC,MD,2025,10,2025-10,70,71.0
POTOMAC,MD,2025,11,2025-11,64,66.0
POTOMAC,MD,2025,12,2025-12,71,71.0
POTOMAC,MD,2026,1,2026-01,67,68.0
POTOMAC,MD,2026,2,2026-02,71,71.0
POTOMAC,MD,2026,3,2026-03,81,81.0
POTOMAC,MD,2026,4,2026-04,56,57.0
POTOMAC,MD,2026,5,2026-05,96,97.0
POTOMAC,MD,2026,6,2026-06,55,55.0
POTOMAC,MD,2026,7,2026-07,7,7.0
ROCKVILLE,MD,2016,7,2016-07,558,572.0
ROCKVILLE,MD,2016,8,2016-08,488,498.0
ROCKVILLE,MD,2016,9,2016-09,562,572.0
ROCKVILLE,MD,2016,10,2016-10,573,582.0
ROCKVILLE,MD,2016,11,2016-11,492,497.0
ROCKVILLE,MD,2016,12,2016-12,526,533.0
ROCKVILLE,MD,2017,1,2017-01,536,544.0
ROCKVILLE,MD,2017,2,2017-02,540,551.0
ROCKVILLE,MD,2017,3,2017-03,497,502.0
ROCKVILLE,MD,2017,4,2017-04,491,506.0
ROCKVILLE,MD,2017,5,2017-05,583,588.0
ROCKVILLE,MD,2017,6,2017-06,633,644.0
ROCKVILLE,MD,2017,7,2017-07,579,593.0
ROCKVILLE,MD,2017,8,2017-08,626,634.0
ROCKVILLE,MD,2017,9,2017-09,597,604.0
ROCKVILLE,MD,2017,10,2017-10,657,663.0
ROCKVILLE,MD,2017,11,2017-11,637,643.0
ROCKVILLE,MD,2017,12,2017-12,603,617.0
ROCKVILLE,MD,2018,1,2018-01,507,513.0
ROCKVILLE,MD,2018,2,2018-02,497,501.0
ROCKVILLE,MD,2018,3,2018-03,536,539.0
ROCKVILLE,MD,2018,4,2018-04,579,583.0
ROCKVILLE,MD,2018,5,2018-05,606,612.0
ROCKVILLE,MD,2018,6,2018-06,627,635.0
ROCKVILLE,MD,2018,7,2018-07,618,629.0
ROCKVILLE,MD,2018,8,2018-08,606,615.0
ROCKVILLE,MD,2018,9,2018-09,559,565.0
ROCKVILLE,MD,2018,10,2018-10,590,607.0
ROCKVILLE,MD,2018,11,2018-11,528,535.0
ROCKVILLE,MD,2018,12,2018-12,571,582.0
ROCKVILLE,MD,2019,1,2019-01,582,588.0
ROCKVILLE,MD,2019,2,2019-02,496,507.0
ROCKVILLE,MD,2019,3,2019-03,584,592.0
ROCKVILLE,MD,2019,4,2019-04,541,550.0
ROCKVILLE,MD,2019,5,2019-05,582,589.0
ROCKVILLE,MD,2019,6,2019-06,546,556.0
ROCKVILLE,MD,2019,7,2019-07,619,627.0
ROCKVILLE,MD,2019,8,2019-08,557,562.0
ROCKVILLE,MD,2019,9,2019-09,547,553.0
ROCKVILLE,MD,2019,10,2019-10,562,569.0
ROCKVILLE,MD,2019,11,2019-11,565,571.0
ROCKVILLE,MD,2019,12,2019-12,555,560.0
ROCKVILLE,MD,2020,1,2020-01,568,572.0
ROCKVILLE,MD,2020,2,2020-02,522,527.0
ROCKVILLE,MD,2020,3,2020-03,499,513.0
ROCKVILLE,MD,2020,4,2020-04,325,330.0
ROCKVILLE,MD,2020,5,2020-05,461,473.0
ROCKVILLE,MD,2020,6,2020-06,409,422.0
ROCKVILLE,MD,2020,7,2020-07,476,485.0
ROCKVILLE,MD,2020,8,2020-08,462,471.0
ROCKVILLE,MD,2020,9,2020-09,503,517.0
ROCKVILLE,MD,2020,10,2020-10,491,496.0
ROCKVILLE,MD,2020,11,2020-11,447,456.0
ROCKVILLE,MD,2020,12,2020-12,452,463.0
ROCKVILLE,MD,2021,1,2021-01,403,410.0
ROCKVILLE,MD,2021,2,2021-02,414,422.0
ROCKVILLE,MD,2021,3,2021-03,465,477.0
ROCKVILLE,MD,2021,4,2021-04,429,439.0
ROCKVILLE,MD,2021,5,2021-05,488,505.0
ROCKVILLE,MD,2021,6,2021-06,500,514.0
ROCKVILLE,MD,2021,7,2021-07,507,518.0
ROCKVILLE,MD,2021,8,2021-08,467,477.0
ROCKVILLE,MD,2021,9,2021-09,487,496.0
ROCKVILLE,MD,2021,10,2021-10,539,560.0
ROCKVILLE,MD,2021,11,2021-11,497,522.0
ROCKVILLE,MD,2021,12,2021-12,477,487.0
ROCKVILLE,MD,2022,1,2022-01,481,494.0
ROCKVILLE,MD,2022,2,2022-02,419,427.0
ROCKVILLE,MD,2022,3,2022-03,544,560.0
ROCKVILLE,MD,2022,4,2022-04,513,530.0
ROCKVILLE,MD,2022,5,2022-05,499,520.0
ROCKVILLE,MD,2022,6,2022-06,523,534.0
ROCKVILLE,MD,2022,7,2022-07,507,522.0
ROCKVILLE,MD,2022,8,2022-08,538,546.0
ROCKVILLE,MD,2022,9,2022-09,501,521.0
ROCKVILLE,MD,2022,10,2022-10,597,619.0
ROCKVILLE,MD,2022,11,2022-11,581,593.0
ROCKVILLE,MD,2022,12,2022-12,546,559.0
ROCKVILLE,MD,2023,1,2023-01,584,600.0
ROCKVILLE,MD,2023,2,2023-02,510,525.0
ROCKVILLE,MD,2023,3,2023-03,567,577.0
ROCKVILLE,MD,2023,4,2023-04,543,551.0
ROCKVILLE,MD,2023,5,2023-05,572,581.0
ROCKVILLE,MD,2023,6,2023-06,513,522.0
ROCKVILLE,MD,2023,7,2023-07,494,506.0
ROCKVILLE,MD,2023,8,2023-08,409,423.0
ROCKVILLE,MD,2023,9,2023-09,442,450.0
ROCKVILLE,MD,2023,10,2023-10,372,377.0
ROCKVILLE,MD,2023,11,2023-11,408,420.0
ROCKVILLE,MD,2023,12,2023-12,364,377.0
ROCKVILLE,MD,2024,1,2024-01,412,428.0
ROCKVILLE,MD,2024,2,2024-02,411,428.0
ROCKVILLE,MD,2024,3,2024-03,581,591.0
ROCKVILLE,MD,2024,4,2024-04,624,638.0
ROCKVILLE,MD,2024,5,2024-05,641,653.0
ROCKVILLE,MD,2024,6,2024-06,531,533.0
ROCKVILLE,MD,2024,7,2024-07,557,569.0
ROCKVILLE,MD,2024,8,2024-08,586,603.0
ROCKVILLE,MD,2024,9,2024-09,623,629.0
ROCKVILLE,MD,2024,10,2024-10,597,600.0
ROCKVILLE,MD,2024,11,2024-11,584,593.0
ROCKVILLE,MD,2024,12,2024-12,588,592.0
ROCKVILLE,MD,2025,1,2025-01,519,531.0
ROCKVILLE,MD,2025,2,2025-02,453,458.0
ROCKVILLE,MD,2025,3,2025-03,619,635.0
ROCKVILLE,MD,2025,4,2025-04,603,617.0
ROCKVILLE,MD,2025,5,2025-05,587,603.0
ROCKVILLE,MD,2025,6,2025-06,567,585.0
ROCKVILLE,MD,2025,7,2025-07,518,524.0
ROCKVILLE,MD,2025,8,2025-08,547,558.0
ROCKVILLE,MD,2025,9,2025-09,545,560.0
ROCKVILLE,MD,2025,10,2025-10,562,572.0
ROCKVILLE,MD,2025,11,2025-11,546,556.0
ROCKVILLE,MD,2025,12,2025-12,525,545.0
ROCKVILLE,MD,2026,1,2026-01,596,611.0
ROCKVILLE,MD,2026,2,2026-02,496,505.0
ROCKVILLE,MD,2026,3,2026-03,532,545.0
ROCKVILLE,MD,2026,4,2026-04,497,508.0
ROCKVILLE,MD,2026,5,2026-05,614,627.0
ROCKVILLE,MD,2026,6,2026-06,499,508.0
ROCKVILLE,MD,2026,7,2026-07,63,69.0
SANDY SPRING,MD,2016,7,2016-07,1,1.0
SANDY SPRING,MD,2016,8,2016-08,4,4.0
SANDY SPRING,MD,2016,9,2016-09,10,12.0
SANDY SPRING,MD,2016,10,2016-10,8,8.0
SANDY SPRING,MD,2016,11,2016-11,5,5.0
SANDY SPRING,MD,2016,12,2016-12,7,8.0
SANDY SPRING,MD,2017,1,2017-01,4,4.0
SANDY SPRING,MD,2017,3,2017-03,3,3.0
SANDY SPRING,MD,2017,4,2017-04,8,8.0
SANDY SPRING,MD,2017,5,2017-05,7,7.0
SANDY SPRING,MD,2017,6,2017-06,12,12.0
SANDY SPRING,MD,2017,7,2017-07,6,6.0
SANDY SPRING,MD,2017,8,2017-08,7,7.0
SANDY SPRING,MD,2017,9,2017-09,7,7.0
SANDY SPRING,MD,2017,10,2017-10,6,6.0
SANDY SPRING,MD,2017,11,2017-11,11,11.0
SANDY SPRING,MD,2017,12,2017-12,8,8.0
SANDY SPRING,MD,2018,1,2018-01,13,14.0
SANDY SPRING,MD,2018,2,2018-02,6,6.0
SANDY SPRING,MD,2018,3,2018-03,9,9.0
SANDY SPRING,MD,2018,4,2018-04,16,16.0
SANDY SPRING,MD,2018,5,2018-05,8,8.0
SANDY SPRING,MD,2018,6,2018-06,7,7.0
SANDY SPRING,MD,2018,7,2018-07,6,9.0
SANDY SPRING,MD,2018,8,2018-08,7,7.0
SANDY SPRING,MD,2018,9,2018-09,11,11.0
SANDY SPRING,MD,2018,10,2018-10,11,11.0
SANDY SPRING,MD,2018,11,2018-11,3,3.0
SANDY SPRING,MD,2018,12,2018-12,9,9.0
SANDY SPRING,MD,2019,1,2019-01,4,4.0
SANDY SPRING,MD,2019,2,2019-02,5,5.0
SANDY SPRING,MD,2019,3,2019-03,7,8.0
SANDY SPRING,MD,2019,4,2019-04,11,11.0
SANDY SPRING,MD,2019,5,2019-05,8,8.0
SANDY SPRING,MD,2019,6,2019-06,7,7.0
SANDY SPRING,MD,2019,7,2019-07,9,9.0
SANDY SPRING,MD,2019,8,2019-08,7,7.0
SANDY SPRING,MD,2019,9,2019-09,4,4.0
SANDY SPRING,MD,2019,10,2019-10,10,10.0
SANDY SPRING,MD,2019,11,2019-11,8,8.0
SANDY SPRING,MD,2019,12,2019-12,1,1.0
SANDY SPRING,MD,2020,1,2020-01,6,7.0
SANDY SPRING,MD,2020,2,2020-02,7,7.0
SANDY SPRING,MD,2020,3,2020-03,5,5.0
SANDY SPRING,MD,2020,4,2020-04,6,6.0
SANDY SPRING,MD,2020,5,2020-05,4,4.0
SANDY SPRING,MD,2020,6,2020-06,4,4.0
SANDY SPRING,MD,2020,7,2020-07,4,4.0
SANDY SPRING,MD,2020,8,2020-08,2,2.0
SANDY SPRING,MD,2020,9,2020-09,4,4.0
SANDY SPRING,MD,2020,10,2020-10,3,3.0
SANDY SPRING,MD,2020,11,2020-11,9,9.0
SANDY SPRING,MD,2020,12,2020-12,3,3.0
SANDY SPRING,MD,2021,1,2021-01,5,5.0
SANDY SPRING,MD,2021,2,2021-02,3,3.0
SANDY SPRING,MD,2021,3,2021-03,5,5.0
SANDY SPRING,MD,2021,4,2021-04,3,3.0
SANDY SPRING,MD,2021,5,2021-05,7,7.0
SANDY SPRING,MD,2021,6,2021-06,6,6.0
SANDY SPRING,MD,2021,7,2021-07,5,5.0
SANDY SPRING,MD,2021,8,2021-08,5,5.0
SANDY SPRING,MD,2021,9,2021-09,5,5.0
SANDY SPRING,MD,2021,10,2021-10,7,7.0
SANDY SPRING,MD,2021,11,2021-11,8,8.0
SANDY SPRING,MD,2021,12,2021-12,3,3.0
SANDY SPRING,MD,2022,1,2022-01,11,11.0
SANDY SPRING,MD,2022,2,2022-02,11,11.0
SANDY SPRING,MD,2022,3,2022-03,6,6.0
SANDY SPRING,MD,2022,4,2022-04,4,4.0
SANDY SPRING,MD,2022,5,2022-05,2,2.0
SANDY SPRING,MD,2022,6,2022-06,6,7.0
SANDY SPRING,MD,2022,7,2022-07,3,3.0
SANDY SPRING,MD,2022,8,2022-08,4,4.0
SANDY SPRING,MD,2022,9,2022-09,5,6.0
SANDY SPRING,MD,2022,10,2022-10,5,5.0
SANDY SPRING,MD,2022,11,2022-11,7,7.0
SANDY SPRING,MD,2022,12,2022-12,6,6.0
SANDY SPRING,MD,2023,1,2023-01,5,5.0
SANDY SPRING,MD,2023,2,2023-02,9,9.0
SANDY SPRING,MD,2023,3,2023-03,5,5.0
SANDY SPRING,MD,2023,4,2023-04,9,9.0
SANDY SPRING,MD,2023,5,2023-05,8,8.0
SANDY SPRING,MD,2023,6,2023-06,6,6.0
SANDY SPRING,MD,2023,7,2023-07,6,6.0
SANDY SPRING,MD,2023,8,2023-08,5,5.0
SANDY SPRING,MD,2023,9,2023-09,2,2.0
SANDY SPRING,MD,2023,10,2023-10,5,5.0
SANDY SPRING,MD,2023,12,2023-12,2,2.0
SANDY SPRING,MD,2024,1,2024-01,6,6.0
SANDY SPRING,MD,2024,2,2024-02,1,1.0
SANDY SPRING,MD,2024,3,2024-03,7,7.0
SANDY SPRING,MD,2024,4,2024-04,4,4.0
SANDY SPRING,MD,2024,5,2024-05,7,7.0
SANDY SPRING,MD,2024,6,2024-06,6,6.0
SANDY SPRING,MD,2024,7,2024-07,5,5.0
SANDY SPRING,MD,2024,8,2024-08,4,4.0
SANDY SPRING,MD,2024,9,2024-09,7,7.0
SANDY SPRING,MD,2024,10,2024-10,8,8.0
SANDY SPRING,MD,2024,11,2024-11,11,11.0
SANDY SPRING,MD,2024,12,2024-12,5,5.0
SANDY SPRING,MD,2025,1,2025-01,9,10.0
SANDY SPRING,MD,2025,2,2025-02,4,4.0
SANDY SPRING,MD,2025,3,2025-03,12,12.0
SANDY SPRING,MD,2025,4,2025-04,5,5.0
SANDY SPRING,MD,2025,5,2025-05,3,3.0
SANDY SPRING,MD,2025,6,2025-06,4,4.0
SANDY SPRING,MD,2025,7,2025-07,9,9.0
SANDY SPRING,MD,2025,8,2025-08,4,4.0
SANDY SPRING,MD,2025,9,2025-09,5,5.0
SANDY SPRING,MD,2025,10,2025-10,10,10.0
SANDY SPRING,MD,2025,11,2025-11,3,3.0
SANDY SPRING,MD,2025,12,2025-12,4,4.0
SANDY SPRING,MD,2026,1,2026-01,2,2.0
SANDY SPRING,MD,2026,2,2026-02,2,2.0
SANDY SPRING,MD,2026,3,2026-03,4,4.0
SANDY SPRING,MD,2026,4,2026-04,9,9.0
SANDY SPRING,MD,2026,5,2026-05,8,8.0
SANDY SPRING,MD,2026,6,2026-06,2,2.0
SILVER SPRING,MD,2016,7,2016-07,1148,1181.0
SILVER SPRING,MD,2016,8,2016-08,1136,1154.0
SILVER SPRING,MD,2016,9,2016-09,1110,1120.0
SILVER SPRING,MD,2016,10,2016-10,1103,1131.0
SILVER SPRING,MD,2016,11,2016-11,1048,1059.0
SILVER SPRING,MD,2016,12,2016-12,1126,1155.0
SILVER SPRING,MD,2017,1,2017-01,1159,1179.0
SILVER SPRING,MD,2017,2,2017-02,1064,1079.0
SILVER SPRING,MD,2017,3,2017-03,1084,1113.0
SILVER SPRING,MD,2017,4,2017-04,1039,1063.0
SILVER SPRING,MD,2017,5,2017-05,1252,1270.0
SILVER SPRING,MD,2017,6,2017-06,1124,1146.0
SILVER SPRING,MD,2017,7,2017-07,1130,1151.0
